,,,Place,,Conference,,Division,,,,,,All-Star,,Margin,,Month,,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,²3,³10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
,,,,,,,,,,,,,,,,,,,,,,,
1,Miami Heat,66-16,37-4,29-12,41-11,25-5,14-4,6-Dec,15-1,2-Aug,2-Aug,1-Sep,36-14,30-2,3-Sep,39-8,Jan-00,3-Oct,5-Oct,5-Aug,1-Dec,17-1,1-Aug
2,Oklahoma City Thunder,60-22,34-7,26-15,21-9,39-13,3-Jul,2-Aug,4-Jun,6-Oct,16-2,13-5,39-14,21-8,6-Mar,44-6,,13-4,2-Nov,5-Nov,4-Jul,5-Dec,2-Jun
3,San Antonio Spurs,58-24,35-6,23-18,25-5,33-19,2-Aug,1-Sep,2-Aug,9-Sep,6-Dec,4-Dec,42-12,16-12,5-Sep,31-10,Jan-00,4-Dec,4-Dec,3-Dec,3-Aug,4-Oct,6-Mar
4,Denver Nuggets,57-25,38-3,19-22,19-11,38-14,5-May,Oct-00,6-Apr,5-Nov,14-4,13-5,33-21,24-4,7-Nov,28-8,0-1,8-Aug,6-Sep,3-Dec,4-Aug,13-2,1-Jul
5,Los Angeles Clippers,56-26,32-9,24-17,21-9,35-17,3-Jul,2-Aug,4-Jun,6-Dec,5-Nov,6-Dec,39-17,17-9,5-Mar,38-12,Jan-00,6-Aug,16-0,7-Sep,5-Aug,7-Jul,1-Jul
6,Memphis Grizzlies,56-26,32-9,24-17,22-8,34-18,2-Aug,2-Aug,4-Jun,6-Dec,6-Dec,6-Oct,33-18,23-8,4-Jun,28-9,0-1,1-Dec,7-Jul,7-Oct,2-Sep,6-Nov,2-Jul
7,New York Knicks,54-28,31-10,23-18,37-15,17-13,6-Oct,6-Dec,15-3,4-Jun,5-May,4-Jun,32-18,22-10,5-Jul,31-12,,4-Nov,5-Oct,6-Jul,5-Jun,6-Dec,2-Aug
8,Brooklyn Nets,49-33,26-15,23-18,36-16,13-17,5-Nov,13-5,6-Dec,5-May,5-May,7-Mar,31-22,18-11,4-Sep,23-17,,4-Nov,11-May,4-Nov,5-Jul,7-Aug,2-Jul
9,Indiana Pacers,49-32,30-11,19-21,31-20,18-12,11-Jun,13-3,6-Dec,7-Mar,3-Jul,2-Aug,32-21,17-11,9-Apr,27-14,Jan-00,8-Jul,5-Oct,6-Sep,3-Sep,5-Nov,5-Feb
10,Golden State Warriors,47-35,28-13,19-22,19-11,28-24,3-Jul,5-May,3-Jul,8-Oct,7-Sep,9-Sep,30-22,17-13,3-May,20-18,Jan-00,6-Aug,4-Dec,7-Aug,8-Apr,7-Sep,3-May
11,Chicago Bulls,45-37,24-17,21-20,34-18,19-Nov,13-5,7-Sep,6-Dec,6-Apr,5-May,8-Feb,30-22,15-15,7-Nov,16-16,Jan-00,7-Jun,6-Sep,4-Dec,8-May,7-Jul,5-May
12,Houston Rockets,45-37,29-12,16-25,21-9,24-28,3-Jul,3-Jul,3-Jul,10-Aug,8-Oct,10-Jun,29-26,16-11,5-May,26-13,Jan-00,8-Jun,6-Oct,9-Aug,5-Jun,5-Sep,4-May
13,Los Angeles Lakers,45-37,29-12,16-25,17-13,28-24,4-Jun,4-Jun,5-May,9-Sep,8-Aug,7-Nov,25-29,20-8,5-Aug,18-17,0-2,6-Aug,7-Jul,11-May,4-Sep,6-Sep,1-Jul
14,Atlanta Hawks,44-38,25-16,19-22,29-23,15-15,11-Jul,7-Nov,5-Nov,4-Jun,5-May,6-Apr,29-22,15-16,5-May,19-20,,5-Sep,5-Oct,9-Jul,4-Jul,10-Aug,5-Mar
15,Utah Jazz,43-39,30-11,13-28,17-13,26-26,5-May,5-May,3-Jul,7-Sep,9-Sep,10-Aug,30-24,13-15,7-May,19-21,Jan-00,8-Aug,9-Jun,4-Oct,6-Jun,9-Jul,3-May
16,Boston Celtics,41-40,27-13,14-27,27-24,14-16,9-Jul,9-Aug,6-Dec,4-Jun,4-Jun,8-Feb,28-24,13-16,7-Aug,18-23,0-1,6-Sep,9-May,7-Aug,4-Aug,8-Aug,5-Mar
17,Dallas Mavericks,41-41,24-17,17-24,17-13,24-28,5-May,4-Jun,4-Jun,11-Jul,8-Oct,9-Jul,23-29,18-12,8-May,17-19,1-Jan,8-Jun,10-May,8-Jul,5-Jun,5-Nov,4-May
18,Milwaukee Bucks,38-44,21-20,17-24,24-28,14-16,7-Nov,9-Jul,12-Jun,6-Apr,3-Jul,7-Mar,26-25,19-Dec,5-Jul,13-25,,7-Jul,6-Sep,7-Aug,8-Apr,9-Jul,7-Mar
19,Philadelphia 76ers,34-48,23-18,30-Nov,22-30,18-Dec,9-Jul,11-Jul,10-Aug,7-Mar,5-May,6-Apr,22-29,19-Dec,5-Apr,13-24,Jan-00,6-Sep,11-Apr,9-May,8-Mar,9-Aug,5-Apr
20,Toronto Raptors,34-48,21-20,13-28,22-30,18-Dec,11-May,10-Aug,9-Sep,6-Apr,6-Apr,6-Apr,21-32,13-16,8-Aug,16-22,0-1,12-Apr,7-Jul,10-May,5-Jul,11-Apr,2-Jul
21,Portland Trail Blazers,33-49,22-19,30-Nov,15-15,18-34,5-May,5-May,5-May,10-Jun,13-May,11-Jul,25-28,21-Aug,6-Sep,13-24,Jan-00,10-May,4-Sep,8-Aug,9-Mar,9-Jul,0-9
22,Minnesota Timberwolves,31-51,20-21,30-Nov,14-16,17-35,6-Apr,3-Jul,7-Mar,12-Apr,13-May,10-Aug,19-31,20-Dec,10-Mar,15-26,,8-Jul,5-Jul,12-Mar,10-Mar,11-Jun,5-May
23,Detroit Pistons,29-53,18-23,30-Nov,25-27,26-Apr,12-Jun,8-Aug,7-Nov,9-Jan,8-Feb,9-Jan,21-33,20-Aug,10-Jun,15-29,0-1,11-May,10-Jun,7-Jun,8-Jun,13-Jan,3-May
24,Washington Wizards,29-53,22-19,Jul-34,15-37,14-16,13-May,13-May,11-May,4-Jun,6-Apr,6-Apr,15-36,14-17,9-Jun,13-17,0-1,12-Jan,11-Mar,9-Jul,5-Jul,8-Sep,7-Feb
25,Sacramento Kings,28-54,20-21,Aug-33,14-16,14-38,6-Apr,6-Apr,4-Jun,13-May,9-Jul,16-Feb,19-35,19-Sep,3-Jul,31-Dec,0-1,10-Apr,8-Jul,11-Jun,9-Mar,8-Jul,7-Jan
26,New Orleans Hornets,27-55,16-25,30-Nov,18-Dec,15-37,7-Mar,5-May,6-Apr,13-May,13-May,11-May,19-34,21-Aug,5-Jul,27-Oct,0-1,9-Apr,13-Mar,8-Aug,8-May,9-Jun,7-Jan
27,Phoenix Suns,25-57,17-24,Aug-33,22-Aug,17-35,9-Jan,6-Apr,7-Mar,13-May,11-May,11-Jul,17-36,21-Aug,8-Jun,31-Oct,0-1,9-Jul,11-Apr,9-May,9-Apr,12-Mar,6-Feb
28,Cleveland Cavaliers,24-58,14-27,31-Oct,18-34,24-Jun,13-May,13-Mar,8-Oct,7-Mar,8-Feb,9-Jan,16-37,21-Aug,11-Jun,27-Jul,Jan-00,12-Mar,13-Mar,8-Jun,5-Jul,12-Feb,8-Feb
29,Charlotte Bobcats,21-61,15-26,Jun-35,18-34,27-Mar,12-Jun,12-Jun,10-Jun,8-Feb,0-10,9-Jan,Dec-40,21-Sep,6-Jun,Jun-37,,8-Jul,15-Jan,11-Mar,10-Feb,12-Apr,5-Apr
30,Orlando Magic,20-62,29-Dec,Aug-33,Oct-42,20-Oct,16-Feb,13-May,13-Mar,7-Mar,4-Jun,9-Jan,15-37,25-May,9-Feb,30-Aug,,10-May,9-Jul,12-Feb,11-Feb,13-Mar,7-Jan
